"種類ID","種類名","駅コード(運行系統)","駅コード(正式)[code]","駅名(正式)[code]","駅コード(正式)[id]","駅名(正式)[id]","駅名","駅グループコード(運行系統)","路線名(運行系統)","路線コード(運行系統)[code]","路線名(運行系統)[code]","路線コード(運行系統)[id]","路線名(運行系統)[id]","ナンバリング接頭辞","路線記号","ナンバリングハイフン","駅番号","路線(運行系統)ごとの並び順","駅カラー"
"","","11000001","1100001","函館","10414","函館","函館","11000001","函館本線","110001A","函館本線","703","函館本線","","H","","75","1","#0068B7"
"","","11000002","1100002","五稜郭","10415","五稜郭","五稜郭","11000002","函館本線","110001A","函館本線","703","函館本線","","H","","74","2","#0068B7"
"","","11000003","1100003","桔梗","10416","桔梗","桔梗","11000003","函館本線","110001A","函館本線","703","函館本線","","H","","73","3","#0068B7"
"","","11000004","1100004","大中山","10417","大中山","大中山","11000004","函館本線","110001A","函館本線","703","函館本線","","H","","72","4","#0068B7"
"","","11000005","1100005","七飯","10418","七飯","七飯","11000005","函館本線","110001A","函館本線","703","函館本線","","H","","71","5","#0068B7"
"","","11000006","1100006","新函館北斗","10419","新函館北斗","新函館北斗","11000006","函館本線","110001A","函館本線","703","函館本線","","H","","70","6","#0068B7"
"","","11000007","1100007","仁山","10420","仁山","仁山","11000007","函館本線","110001A","函館本線","703","函館本線","","H","","69","7","#0068B7"
"","","11000008","1100008","大沼","10421","大沼","大沼","11000008","函館本線","110001A","函館本線","703","函館本線","","H","","68","8","#0068B7"
"","","11000009","1100009","大沼公園","10422","大沼公園","大沼公園","11000009","函館本線","110001A","函館本線","703","函館本線","","H","","67","9","#0068B7"
"","","11000010","1100010","赤井川","10423","赤井川","赤井川","11000010","函館本線","110001A","函館本線","703","函館本線","","H","","66","10","#0068B7"
"","","11000011","1100011","駒ヶ岳","10424","駒ヶ岳","駒ヶ岳","11000011","函館本線","110001A","函館本線","703","函館本線","","H","","65","11","#0068B7"
"","","11000012","1100012","東山","10425","東山","東山","11000012","函館本線","110001A","函館本線","703","函館本線","","H","","64","12","#0068B7"
"","","11000013","1100013","姫川","10426","姫川","姫川","11000013","函館本線","110001A","函館本線","703","函館本線","","H","","63","13","#0068B7"
"","","11000014","1100014","森","10427","森","森","11000014","函館本線","110001A","函館本線","703","函館本線","","H","","62","14","#0068B7"
"","","11000015","1100015","桂川","10428","桂川","桂川","11000015","函館本線","110001A","函館本線","703","函館本線","","H","","61","15","#0068B7"
"","","11000016","1100016","石谷","10429","石谷","石谷","11000016","函館本線","110001A","函館本線","703","函館本線","","H","","60","16","#0068B7"
"","","11000017","1100017","本石倉","10430","本石倉","本石倉","11000017","函館本線","110001A","函館本線","703","函館本線","","H","","59","17","#0068B7"
"","","11000018","1100018","石倉","10431","石倉","石倉","11000018","函館本線","110001A","函館本線","703","函館本線","","H","","58","18","#0068B7"
"","","11000019","1100019","落部","10432","落部","落部","11000019","函館本線","110001A","函館本線","703","函館本線","","H","","57","19","#0068B7"
"","","11000020","1100020","野田生","10433","野田生","野田生","11000020","函館本線","110001A","函館本線","703","函館本線","","H","","56","20","#0068B7"
"","","11000021","1100021","山越","10434","山越","山越","11000021","函館本線","110001A","函館本線","703","函館本線","","H","","55","21","#0068B7"
"","","11000022","1100022","八雲","10435","八雲","八雲","11000022","函館本線","110001A","函館本線","703","函館本線","","H","","54","22","#0068B7"
"","","11000023","1100023","鷲ノ巣","10436","鷲ノ巣","鷲ノ巣","11000023","函館本線","110001A","函館本線","703","函館本線","","H","","53","23","#0068B7"
"","","11000024","1100024","山崎","10437","山崎","山崎","11000024","函館本線","110001A","函館本線","703","函館本線","","H","","52","24","#0068B7"
"","","11000025","1100025","黒岩","10438","黒岩","黒岩","11000025","函館本線","110001A","函館本線","703","函館本線","","H","","51","25","#0068B7"
"","","11000026","1100026","北豊津","10439","北豊津","北豊津","11000026","函館本線","110001A","函館本線","703","函館本線","","H","","50","26","#0068B7"
"","","11000027","1100027","国縫","10440","国縫","国縫","11000027","函館本線","110001A","函館本線","703","函館本線","","H","","49","27","#0068B7"
"","","11000028","1100028","中ノ沢","10441","中ノ沢","中ノ沢","11000028","函館本線","110001A","函館本線","703","函館本線","","H","","48","28","#0068B7"
"","","11000029","1100029","長万部","10442","長万部","長万部","11000029","函館本線","110001A","函館本線","703","函館本線","","H","","47","29","#0068B7"
"","","11000030","1100030","二股","10443","二股","二股","11000030","函館本線","110001A","函館本線","703","函館本線","","S","","32","30","#E60012"
"","","11000031","1100031","蕨岱","10444","蕨岱","蕨岱","11000031","函館本線","110001A","函館本線","703","函館本線","","S","","31","31","#E60012"
"","","11000032","1100032","黒松内","10445","黒松内","黒松内","11000032","函館本線","110001A","函館本線","703","函館本線","","S","","30","32","#E60012"
"","","11000033","1100033","熱郛","10446","熱郛","熱郛","11000033","函館本線","110001A","函館本線","703","函館本線","","S","","29","33","#E60012"
"","","11000034","1100034","目名","10447","目名","目名","11000034","函館本線","110001A","函館本線","703","函館本線","","S","","28","34","#E60012"
"","","11000035","1100035","蘭越","10448","蘭越","蘭越","11000035","函館本線","110001A","函館本線","703","函館本線","","S","","27","35","#E60012"
"","","11000036","1100036","昆布","10449","昆布","昆布","11000036","函館本線","110001A","函館本線","703","函館本線","","S","","26","36","#E60012"
"","","11000037","1100037","ニセコ","10450","ニセコ","ニセコ","11000037","函館本線","110001A","函館本線","703","函館本線","","S","","25","37","#E60012"
"","","11000038","1100038","比羅夫","10451","比羅夫","比羅夫","11000038","函館本線","110001A","函館本線","703","函館本線","","S","","24","38","#E60012"
"","","11000039","1100039","倶知安","10452","倶知安","倶知安","11000039","函館本線","110001A","函館本線","703","函館本線","","S","","23","39","#E60012"
"","","11000040","1100040","小沢","10453","小沢","小沢","11000040","函館本線","110001A","函館本線","703","函館本線","","S","","22","40","#E60012"
"","","11000041","1100041","銀山","10454","銀山","銀山","11000041","函館本線","110001A","函館本線","703","函館本線","","S","","21","41","#E60012"
"","","11000042","1100042","然別","10455","然別","然別","11000042","函館本線","110001A","函館本線","703","函館本線","","S","","20","42","#E60012"
"","","11000043","1100043","仁木","10456","仁木","仁木","11000043","函館本線","110001A","函館本線","703","函館本線","","S","","19","43","#E60012"
"","","11000044","1100044","余市","10457","余市","余市","11000044","函館本線","110001A","函館本線","703","函館本線","","S","","18","44","#E60012"
"","","11000045","1100045","蘭島","10458","蘭島","蘭島","11000045","函館本線","110001A","函館本線","703","函館本線","","S","","17","45","#E60012"
"","","11000046","1100046","塩谷","10459","塩谷","塩谷","11000046","函館本線","110001A","函館本線","703","函館本線","","S","","16","46","#E60012"
"","","11000047","1100047","小樽","10460","小樽","小樽","11000047","函館本線","110001A","函館本線","703","函館本線","","S","","15","47","#E60012"
"","","11000048","1100048","南小樽","10461","南小樽","南小樽","11000048","函館本線","110001A","函館本線","703","函館本線","","S","","14","48","#E60012"
"","","11000049","1100049","小樽築港","10462","小樽築港","小樽築港","11000049","函館本線","110001A","函館本線","703","函館本線","","S","","13","49","#E60012"
"","","11000050","1100050","朝里","10463","朝里","朝里","11000050","函館本線","110001A","函館本線","703","函館本線","","S","","12","50","#E60012"
"","","11000051","1100051","銭函","10464","銭函","銭函","11000051","函館本線","110001A","函館本線","703","函館本線","","S","","11","51","#E60012"
"","","11000052","1100052","ほしみ","10465","ほしみ","ほしみ","11000052","函館本線","110001A","函館本線","703","函館本線","","S","","10","52","#E60012"
"","","11000053","1100053","星置","10466","星置","星置","11000053","函館本線","110001A","函館本線","703","函館本線","","S","","09","53","#E60012"
"","","11000054","1100054","稲穂","10467","稲穂","稲穂","11000054","函館本線","110001A","函館本線","703","函館本線","","S","","08","54","#E60012"
"","","11000055","1100055","手稲","10468","手稲","手稲","11000055","函館本線","110001A","函館本線","703","函館本線","","S","","07","55","#E60012"
"","","11000056","1100056","稲積公園","10469","稲積公園","稲積公園","11000056","函館本線","110001A","函館本線","703","函館本線","","S","","06","56","#E60012"
"","","11000057","1100057","発寒","10470","発寒","発寒","11000057","函館本線","110001A","函館本線","703","函館本線","","S","","05","57","#E60012"
"","","11000058","1100058","発寒中央","10471","発寒中央","発寒中央","11000058","函館本線","110001A","函館本線","703","函館本線","","S","","04","58","#E60012"
"","","11000059","1100059","琴似","10472","琴似","琴似","11000059","函館本線","110001A","函館本線","703","函館本線","","S","","03","59","#E60012"
"","","11000060","1100060","桑園","10473","桑園","桑園","11000060","函館本線","110001A","函館本線","703","函館本線","","S","","02","60","#E60012"
"","","11000061","1100061","札幌","10474","札幌","札幌","11000061","函館本線","110001A","函館本線","703","函館本線","","","","01","61","#312725"
"","","11000062","1100062","苗穂","10475","苗穂","苗穂","11000062","函館本線","110001A","函館本線","703","函館本線","","H","","02","62","#0068B7"
"","","11000063","1100063","白石","10476","白石","白石","11000063","函館本線","110001A","函館本線","703","函館本線","","H","","03","63","#0068B7"
"","","11000064","1100064","厚別","10477","厚別","厚別","11000064","函館本線","110001A","函館本線","703","函館本線","","A","","04","64","#F39700"
"","","11000065","1100065","森林公園","10478","森林公園","森林公園","11000065","函館本線","110001A","函館本線","703","函館本線","","A","","05","65","#F39700"
"","","11000066","1100066","大麻","10479","大麻","大麻","11000066","函館本線","110001A","函館本線","703","函館本線","","A","","06","66","#F39700"
"","","11000067","1100067","野幌","10480","野幌","野幌","11000067","函館本線","110001A","函館本線","703","函館本線","","A","","07","67","#F39700"
"","","11000068","1100068","高砂","10481","高砂","高砂","11000068","函館本線","110001A","函館本線","703","函館本線","","A","","08","68","#F39700"
"","","11000069","1100069","江別","10482","江別","江別","11000069","函館本線","110001A","函館本線","703","函館本線","","A","","09","69","#F39700"
"","","11000070","1100070","豊幌","10483","豊幌","豊幌","11000070","函館本線","110001A","函館本線","703","函館本線","","A","","10","70","#F39700"
"","","11000071","1100071","幌向","10484","幌向","幌向","11000071","函館本線","110001A","函館本線","703","函館本線","","A","","11","71","#F39700"
"","","11000072","1100072","上幌向","10485","上幌向","上幌向","11000072","函館本線","110001A","函館本線","703","函館本線","","A","","12","72","#F39700"
"","","11000073","1100073","岩見沢","10486","岩見沢","岩見沢","11000073","函館本線","110001A","函館本線","703","函館本線","","A","","13","73","#F39700"
"","","11000074","1100074","峰延","10487","峰延","峰延","11000074","函館本線","110001A","函館本線","703","函館本線","","A","","14","74","#F39700"
"","","11000075","1100075","光珠内","10488","光珠内","光珠内","11000075","函館本線","110001A","函館本線","703","函館本線","","A","","15","75","#F39700"
"","","11000076","1100076","美唄","10489","美唄","美唄","11000076","函館本線","110001A","函館本線","703","函館本線","","A","","16","76","#F39700"
"","","11000077","1100077","茶志内","10490","茶志内","茶志内","11000077","函館本線","110001A","函館本線","703","函館本線","","A","","17","77","#F39700"
"","","11000078","1100078","奈井江","10491","奈井江","奈井江","11000078","函館本線","110001A","函館本線","703","函館本線","","A","","18","78","#F39700"
"","","11000079","1100079","豊沼","10492","豊沼","豊沼","11000079","函館本線","110001A","函館本線","703","函館本線","","A","","19","79","#F39700"
"","","11000080","1100080","砂川","10493","砂川","砂川","11000080","函館本線","110001A","函館本線","703","函館本線","","A","","20","80","#F39700"
"","","11000081","1100081","滝川","10494","滝川","滝川","11000081","函館本線","110001A","函館本線","703","函館本線","","A","","21","81","#F39700"
"","","11000082","1100082","江部乙","10495","江部乙","江部乙","11000082","函館本線","110001A","函館本線","703","函館本線","","A","","22","82","#F39700"
"","","11000083","1100083","妹背牛","10496","妹背牛","妹背牛","11000083","函館本線","110001A","函館本線","703","函館本線","","A","","23","83","#F39700"
"","","11000084","1100084","深川","10497","深川","深川","11000084","函館本線","110001A","函館本線","703","函館本線","","A","","24","84","#F39700"
"","","11000085","1100085","納内","10498","納内","納内","11000085","函館本線","110001A","函館本線","703","函館本線","","A","","25","85","#F39700"
"","","11000086","1100086","伊納","10499","伊納","伊納","11000086","函館本線","110001A","函館本線","703","函館本線","","A","","26","86","#F39700"
"","","11000087","1100087","近文","10500","近文","近文","11000087","函館本線","110001A","函館本線","703","函館本線","","A","","27","87","#F39700"
"","","11000088","1100088","旭川","10501","旭川","旭川","11000088","函館本線","110001A","函館本線","703","函館本線","","A","","28","88","#F39700"
"","","11000089","1100089","大沼","10502","大沼","大沼","11000089","函館本線(砂原支線)","110002A","函館本線","704","函館本線","","H","","68","1","#0068B7"
"","","11000090","1100090","池田園","10503","池田園","池田園","11000090","函館本線(砂原支線)","110002A","函館本線","704","函館本線","","N","","71","2","#0068B7"
"","","11000091","1100091","流山温泉","10504","流山温泉","流山温泉","11000091","函館本線(砂原支線)","110002A","函館本線","704","函館本線","","N","","70","3","#0068B7"
"","","11000092","1100092","銚子口","10505","銚子口","銚子口","11000092","函館本線(砂原支線)","110002A","函館本線","704","函館本線","","N","","69","4","#0068B7"
"","","11000093","1100093","鹿部","10506","鹿部","鹿部","11000093","函館本線(砂原支線)","110002A","函館本線","704","函館本線","","N","","68","5","#0068B7"
"","","11000094","1100094","渡島沼尻","10507","渡島沼尻","渡島沼尻","11000094","函館本線(砂原支線)","110002A","函館本線","704","函館本線","","N","","67","6","#0068B7"
"","","11000095","1100095","渡島砂原","10508","渡島砂原","渡島砂原","11000095","函館本線(砂原支線)","110002A","函館本線","704","函館本線","","N","","66","7","#0068B7"
"","","11000096","1100096","掛澗","10509","掛澗","掛澗","11000096","函館本線(砂原支線)","110002A","函館本線","704","函館本線","","N","","65","8","#0068B7"
"","","11000097","1100097","尾白内","10510","尾白内","尾白内","11000097","函館本線(砂原支線)","110002A","函館本線","704","函館本線","","N","","64","9","#0068B7"
"","","11000098","1100098","東森","10511","東森","東森","11000098","函館本線(砂原支線)","110002A","函館本線","704","函館本線","","N","","63","10","#0068B7"
"","","11000099","1100099","森","10512","森","森","11000099","函館本線(砂原支線)","110002A","函館本線","704","函館本線","","H","","62","11","#0068B7"
"","","11000100","1100100","桑園","10513","桑園","桑園","11000100","札沼線","110003A","札沼線","705","札沼線","","S","","02","1","#E60012"
"","","11000101","1100101","八軒","10514","八軒","八軒","11000101","札沼線","110003A","札沼線","705","札沼線","","G","","03","2","#009944"
"","","11000102","1100102","新川","10515","新川","新川","11000102","札沼線","110003A","札沼線","705","札沼線","","G","","04","3","#009944"
"","","11000103","1100103","新琴似","10516","新琴似","新琴似","11000103","札沼線","110003A","札沼線","705","札沼線","","G","","05","4","#009944"
"","","11000104","1100104","太平","10517","太平","太平","11000104","札沼線","110003A","札沼線","705","札沼線","","G","","06","5","#009944"
"","","11000105","1100105","百合が原","10518","百合が原","百合が原","11000105","札沼線","110003A","札沼線","705","札沼線","","G","","07","6","#009944"
"","","11000106","1100106","篠路","10519","篠路","篠路","11000106","札沼線","110003A","札沼線","705","札沼線","","G","","08","7","#009944"
"","","11000107","1100107","拓北","10520","拓北","拓北","11000107","札沼線","110003A","札沼線","705","札沼線","","G","","09","8","#009944"
"","","11000108","1100108","あいの里教育大","10521","あいの里教育大","あいの里教育大","11000108","札沼線","110003A","札沼線","705","札沼線","","G","","10","9","#009944"
"","","11000109","1100109","あいの里公園","10522","あいの里公園","あいの里公園","11000109","札沼線","110003A","札沼線","705","札沼線","","G","","11","10","#009944"
"","","11000110","1100110","石狩太美","10523","石狩太美","石狩太美","11000110","札沼線","110003A","札沼線","705","札沼線","","G","","12","11","#009944"
"","","11000111","1100111","石狩当別","10524","石狩当別","石狩当別","11000111","札沼線","110003A","札沼線","705","札沼線","","G","","13","12","#009944"
"","","11000112","1100112","北海道医療大学","10525","北海道医療大学","北海道医療大学","11000112","札沼線","110003A","札沼線","705","札沼線","","G","","14","13","#009944"
"","","11000113","1100113","石狩金沢","10526","石狩金沢","石狩金沢","11000113","札沼線","110003A","札沼線","705","札沼線","","","","","14",""
"","","11000114","1100114","本中小屋","10527","本中小屋","本中小屋","11000114","札沼線","110003A","札沼線","705","札沼線","","","","","15",""
"","","11000115","1100115","中小屋","10528","中小屋","中小屋","11000115","札沼線","110003A","札沼線","705","札沼線","","","","","16",""
"","","11000116","1100116","月ヶ岡","10529","月ヶ岡","月ヶ岡","11000116","札沼線","110003A","札沼線","705","札沼線","","","","","17",""
"","","11000117","1100117","知来乙","10530","知来乙","知来乙","11000117","札沼線","110003A","札沼線","705","札沼線","","","","","18",""
"","","11000118","1100118","石狩月形","10531","石狩月形","石狩月形","11000118","札沼線","110003A","札沼線","705","札沼線","","","","","19",""
"","","11000119","1100119","豊ヶ岡","10532","豊ヶ岡","豊ヶ岡","11000119","札沼線","110003A","札沼線","705","札沼線","","","","","20",""
"","","11000120","1100120","札比内","10533","札比内","札比内","11000120","札沼線","110003A","札沼線","705","札沼線","","","","","21",""
"","","11000121","1100121","晩生内","10534","晩生内","晩生内","11000121","札沼線","110003A","札沼線","705","札沼線","","","","","22",""
"","","11000122","1100122","札的","10535","札的","札的","11000122","札沼線","110003A","札沼線","705","札沼線","","","","","23",""
"","","11000123","1100123","浦臼","10536","浦臼","浦臼","11000123","札沼線","110003A","札沼線","705","札沼線","","","","","24",""
"","","11000124","1100124","鶴沼","10537","鶴沼","鶴沼","11000124","札沼線","110003A","札沼線","705","札沼線","","","","","25",""
"","","11000125","1100125","於札内","10538","於札内","於札内","11000125","札沼線","110003A","札沼線","705","札沼線","","","","","26",""
"","","11000126","1100126","南下徳富","10539","南下徳富","南下徳富","11000126","札沼線","110003A","札沼線","705","札沼線","","","","","27",""
"","","11000127","1100127","下徳富","10540","下徳富","下徳富","11000127","札沼線","110003A","札沼線","705","札沼線","","","","","28",""
"","","11000128","1100128","新十津川","10541","新十津川","新十津川","11000128","札沼線","110003A","札沼線","705","札沼線","","","","","29",""
"","","11000129","1100129","沼ノ端","10542","沼ノ端","沼ノ端","11000129","千歳線","110004A","千歳線","706","千歳線","","H","","17","1","#0068B7"
"","","11000130","1100130","植苗","10543","植苗","植苗","11000130","千歳線","110004A","千歳線","706","千歳線","","H","","16","2","#0068B7"
"","","11000131","1100131","美々","10544","美々","美々","11000131","千歳線","110004A","千歳線","706","千歳線","","H","","15","3","#0068B7"
"","","11000132","1100132","南千歳","10545","南千歳","南千歳","11000132","千歳線","110004A","千歳線","706","千歳線","","H","","14","4","#0068B7"
"","","11000133","1100133","千歳","10546","千歳","千歳","11000133","千歳線","110004A","千歳線","706","千歳線","","H","","13","5","#0068B7"
"","","11000134","1100134","長都","10547","長都","長都","11000134","千歳線","110004A","千歳線","706","千歳線","","H","","12","6","#0068B7"
"","","11000135","1100135","サッポロビール庭園","10548","サッポロビール庭園","サッポロビール庭園","11000135","千歳線","110004A","千歳線","706","千歳線","","H","","11","7","#0068B7"
"","","11000136","1100136","恵庭","10549","恵庭","恵庭","11000136","千歳線","110004A","千歳線","706","千歳線","","H","","10","8","#0068B7"
"","","11000137","1100137","恵み野","10550","恵み野","恵み野","11000137","千歳線","110004A","千歳線","706","千歳線","","H","","09","9","#0068B7"
"","","11000138","1100138","島松","10551","島松","島松","11000138","千歳線","110004A","千歳線","706","千歳線","","H","","08","10","#0068B7"
"","","11000139","1100139","北広島","10552","北広島","北広島","11000139","千歳線","110004A","千歳線","706","千歳線","","H","","07","11","#0068B7"
"","","11000140","1100140","上野幌","10553","上野幌","上野幌","11000140","千歳線","110004A","千歳線","706","千歳線","","H","","06","12","#0068B7"
"","","11000141","1100141","新札幌","10554","新札幌","新札幌","11000141","千歳線","110004A","千歳線","706","千歳線","","H","","05","13","#0068B7"
"","","11000142","1100142","平和","10555","平和","平和","11000142","千歳線","110004A","千歳線","706","千歳線","","H","","04","14","#0068B7"
"","","11000143","1100143","白石","10556","白石","白石","11000143","千歳線","110004A","千歳線","706","千歳線","","H","","03","15","#0068B7"
"","","11000144","1100144","南千歳","10557","南千歳","南千歳","11000144","千歳線(空港支線)","110005A","千歳線","707","千歳線","","H","","14","1","#0068B7"
"","","11000145","1100145","新千歳空港","10558","新千歳空港","新千歳空港","11000145","千歳線(空港支線)","110005A","千歳線","707","千歳線","","AP","","15","2","#00AAE8"
"","","11000146","1100146","南千歳","10559","南千歳","南千歳","11000146","石勝線","110006A","石勝線","708","石勝線","","H","","14","1","#0068B7"
"","","11000147","1100147","追分","10560","追分","追分","11000147","石勝線","110006A","石勝線","708","石勝線","","K","","15","2","#8FC31F"
"","","11000148","1100148","東追分","10561","東追分","東追分","11000148","石勝線","110006A","石勝線","708","石勝線","","K","","16","3","#8FC31F"
"","","11000149","1100149","川端","10562","川端","川端","11000149","石勝線","110006A","石勝線","708","石勝線","","K","","17","4","#8FC31F"
"","","11000150","1100150","滝ノ上","10563","滝ノ上","滝ノ上","11000150","石勝線","110006A","石勝線","708","石勝線","","K","","18","5","#8FC31F"
"","","11000151","1100151","十三里","10564","十三里","十三里","11000151","石勝線","110006A","石勝線","708","石勝線","","K","","19","6","#8FC31F"
"","","11000152","1100152","新夕張","10565","新夕張","新夕張","11000152","石勝線","110006A","石勝線","708","石勝線","","K","","20","7","#8FC31F"
"","","11000153","1100153","占冠","10566","占冠","占冠","11000153","石勝線","110006A","石勝線","708","石勝線","","K","","21","8","#8FC31F"
"","","11000154","1100154","トマム","10567","トマム","トマム","11000154","石勝線","110006A","石勝線","708","石勝線","","K","","22","9","#8FC31F"
"","","11000155","1100155","新得","10568","新得","新得","11000155","石勝線","110006A","石勝線","708","石勝線","","K","","23","10","#8FC31F"
"","","11000156","1100162","長万部","10575","長万部","長万部","11000156","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","47","1","#0068B7"
"","","11000157","1100163","静狩","10576","静狩","静狩","11000157","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","46","2","#0068B7"
"","","11000158","1100164","小幌","10577","小幌","小幌","11000158","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","45","3","#0068B7"
"","","11000159","1100165","礼文","10578","礼文","礼文","11000159","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","44","4","#0068B7"
"","","11000160","1100166","大岸","10579","大岸","大岸","11000160","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","43","5","#0068B7"
"","","11000161","1100167","豊浦","10580","豊浦","豊浦","11000161","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","42","6","#0068B7"
"","","11000162","1100168","洞爺","10581","洞爺","洞爺","11000162","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","41","7","#0068B7"
"","","11000163","1100169","有珠","10582","有珠","有珠","11000163","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","40","8","#0068B7"
"","","11000164","1100170","長和","10583","長和","長和","11000164","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","39","9","#0068B7"
"","","11000165","1100171","伊達紋別","10584","伊達紋別","伊達紋別","11000165","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","38","10","#0068B7"
"","","11000166","1100172","北舟岡","10585","北舟岡","北舟岡","11000166","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","37","11","#0068B7"
"","","11000167","1100173","稀府","10586","稀府","稀府","11000167","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","36","12","#0068B7"
"","","11000168","1100174","黄金","10587","黄金","黄金","11000168","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","35","13","#0068B7"
"","","11000169","1100175","崎守","10588","崎守","崎守","11000169","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","34","14","#0068B7"
"","","11000170","1100176","本輪西","10589","本輪西","本輪西","11000170","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","33","15","#0068B7"
"","","11000171","1100177","東室蘭","10590","東室蘭","東室蘭","11000171","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","32","16","#0068B7"
"","","11000172","1100178","鷲別","10591","鷲別","鷲別","11000172","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","31","17","#0068B7"
"","","11000173","1100179","幌別","10592","幌別","幌別","11000173","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","30","18","#0068B7"
"","","11000174","1100180","富浦","10593","富浦","富浦","11000174","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","29","19","#0068B7"
"","","11000175","1100181","登別","10594","登別","登別","11000175","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","28","20","#0068B7"
"","","11000176","1100182","虎杖浜","10595","虎杖浜","虎杖浜","11000176","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","27","21","#0068B7"
"","","11000177","1100183","竹浦","10596","竹浦","竹浦","11000177","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","26","22","#0068B7"
"","","11000178","1100184","北吉原","10597","北吉原","北吉原","11000178","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","25","23","#0068B7"
"","","11000179","1100185","萩野","10598","萩野","萩野","11000179","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","24","24","#0068B7"
"","","11000180","1100186","白老","10599","白老","白老","11000180","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","23","25","#0068B7"
"","","11000181","1100187","社台","10600","社台","社台","11000181","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","22","26","#0068B7"
"","","11000182","1100188","錦岡","10601","錦岡","錦岡","11000182","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","21","27","#0068B7"
"","","11000183","1100189","糸井","10602","糸井","糸井","11000183","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","20","28","#0068B7"
"","","11000184","1100190","青葉","10603","青葉","青葉","11000184","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","19","29","#0068B7"
"","","11000185","1100191","苫小牧","10604","苫小牧","苫小牧","11000185","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","18","30","#0068B7"
"","","11000186","1100192","沼ノ端","10605","沼ノ端","沼ノ端","11000186","室蘭本線","110007A","室蘭本線","710","室蘭本線","","H","","17","31","#0068B7"
"","","11000187","1100193","遠浅","10606","遠浅","遠浅","11000187","室蘭本線","110007A","室蘭本線","710","室蘭本線","","","","","32",""
"","","11000188","1100194","早来","10607","早来","早来","11000188","室蘭本線","110007A","室蘭本線","710","室蘭本線","","","","","33",""
"","","11000189","1100195","安平","10608","安平","安平","11000189","室蘭本線","110007A","室蘭本線","710","室蘭本線","","","","","34",""
"","","11000190","1100196","追分","10609","追分","追分","11000190","室蘭本線","110007A","室蘭本線","710","室蘭本線","","","","","35",""
"","","11000191","1100197","三川","10610","三川","三川","11000191","室蘭本線","110007A","室蘭本線","710","室蘭本線","","","","","36",""
"","","11000192","1100198","古山","10611","古山","古山","11000192","室蘭本線","110007A","室蘭本線","710","室蘭本線","","","","","37",""
"","","11000193","1100199","由仁","10612","由仁","由仁","11000193","室蘭本線","110007A","室蘭本線","710","室蘭本線","","","","","38",""
"","","11000194","1100200","栗山","10613","栗山","栗山","11000194","室蘭本線","110007A","室蘭本線","710","室蘭本線","","","","","39",""
"","","11000195","1100201","栗丘","10614","栗丘","栗丘","11000195","室蘭本線","110007A","室蘭本線","710","室蘭本線","","","","","40",""
"","","11000196","1100202","栗沢","10615","栗沢","栗沢","11000196","室蘭本線","110007A","室蘭本線","710","室蘭本線","","","","","41",""
"","","11000197","1100203","志文","10616","志文","志文","11000197","室蘭本線","110007A","室蘭本線","710","室蘭本線","","","","","42",""
"","","11000198","1100204","岩見沢","10617","岩見沢","岩見沢","11000198","室蘭本線","110007A","室蘭本線","710","室蘭本線","","A","","13","43","#F39700"
"","","11000199","1100205","東室蘭","10618","東室蘭","東室蘭","11000199","室蘭本線(室蘭支線)","110008A","室蘭本線","711","室蘭本線","","H","","32","1","#0068B7"
"","","11000200","1100206","輪西","10619","輪西","輪西","11000200","室蘭本線(室蘭支線)","110008A","室蘭本線","711","室蘭本線","","M","","33","2","#0068B7"
"","","11000201","1100207","御崎","10620","御崎","御崎","11000201","室蘭本線(室蘭支線)","110008A","室蘭本線","711","室蘭本線","","M","","34","3","#0068B7"
